Year,Value
1,276.048
2,276.097
3,276.149
4,276.205
5,276.263
6,276.325
7,276.388
8,276.454
9,276.522
10,276.591
11,276.661
12,276.731
13,276.803
14,276.874
15,276.945
16,277.015
17,277.085
18,277.153
19,277.220
20,277.285
21,277.348
22,277.408
23,277.466
24,277.520
25,277.571
26,277.618
27,277.661
28,277.700
29,277.733
30,277.762
31,277.786
32,277.804
33,277.818
34,277.828
35,277.833
36,277.835
37,277.833
38,277.828
39,277.819
40,277.808
41,277.794
42,277.778
43,277.759
44,277.739
45,277.717
46,277.694
47,277.670
48,277.645
49,277.619
50,277.593
51,277.567
52,277.541
53,277.516
54,277.491
55,277.467
56,277.445
57,277.424
58,277.404
59,277.386
60,277.368
61,277.353
62,277.339
63,277.325
64,277.313
65,277.303
66,277.293
67,277.285
68,277.277
69,277.271
70,277.266
71,277.262
72,277.259
73,277.256
74,277.255
75,277.254
76,277.255
77,277.256
78,277.258
79,277.261
80,277.264
81,277.268
82,277.273
83,277.278
84,277.284
85,277.291
86,277.298
87,277.306
88,277.314
89,277.322
90,277.331
91,277.340
92,277.350
93,277.360
94,277.370
95,277.380
96,277.391
97,277.402
98,277.413
99,277.424
100,277.435
101,277.447
102,277.458
103,277.469
104,277.480
105,277.491
106,277.503
107,277.514
108,277.525
109,277.536
110,277.548
111,277.560
112,277.572
113,277.585
114,277.599
115,277.613
116,277.627
117,277.643
118,277.659
119,277.676
120,277.694
121,277.714
122,277.734
123,277.756
124,277.779
125,277.803
126,277.828
127,277.856
128,277.884
129,277.915
130,277.947
131,277.981
132,278.016
133,278.054
134,278.094
135,278.136
136,278.180
137,278.226
138,278.274
139,278.325
140,278.377
141,278.430
142,278.486
143,278.542
144,278.600
145,278.659
146,278.719
147,278.780
148,278.841
149,278.903
150,278.965
151,279.028
152,279.090
153,279.153
154,279.215
155,279.277
156,279.338
157,279.399
158,279.459
159,279.518
160,279.576
161,279.632
162,279.688
163,279.742
164,279.794
165,279.844
166,279.893
167,279.939
168,279.983
169,280.025
170,280.064
171,280.101
172,280.137
173,280.170
174,280.201
175,280.231
176,280.258
177,280.285
178,280.310
179,280.333
180,280.356
181,280.377
182,280.397
183,280.417
184,280.436
185,280.454
186,280.471
187,280.488
188,280.505
189,280.522
190,280.538
191,280.555
192,280.572
193,280.589
194,280.606
195,280.624
196,280.643
197,280.662
198,280.682
199,280.703
200,280.725
201,280.748
202,280.772
203,280.798
204,280.825
205,280.854
206,280.883
207,280.913
208,280.944
209,280.975
210,281.007
211,281.038
212,281.070
213,281.102
214,281.133
215,281.163
216,281.193
217,281.222
218,281.249
219,281.276
220,281.301
221,281.324
222,281.346
223,281.365
224,281.383
225,281.398
226,281.411
227,281.421
228,281.428
229,281.432
230,281.433
231,281.432
232,281.428
233,281.421
234,281.411
235,281.400
236,281.386
237,281.370
238,281.352
239,281.332
240,281.310
241,281.286
242,281.261
243,281.234
244,281.205
245,281.176
246,281.145
247,281.113
248,281.079
249,281.045
250,281.010
251,280.974
252,280.938
253,280.901
254,280.864
255,280.826
256,280.788
257,280.750
258,280.712
259,280.674
260,280.636
261,280.599
262,280.562
263,280.525
264,280.489
265,280.453
266,280.419
267,280.385
268,280.352
269,280.321
270,280.290
271,280.261
272,280.233
273,280.207
274,280.182
275,280.159
276,280.138
277,280.118
278,280.100
279,280.083
280,280.067
281,280.052
282,280.038
283,280.026
284,280.014
285,280.002
286,279.991
287,279.981
288,279.971
289,279.961
290,279.952
291,279.942
292,279.933
293,279.923
294,279.913
295,279.902
296,279.892
297,279.880
298,279.868
299,279.855
300,279.841
301,279.826
302,279.810
303,279.792
304,279.774
305,279.754
306,279.733
307,279.710
308,279.687
309,279.662
310,279.636
311,279.608
312,279.580
313,279.550
314,279.519
315,279.487
316,279.453
317,279.419
318,279.383
319,279.346
320,279.308
321,279.268
322,279.228
323,279.186
324,279.143
325,279.099
326,279.054
327,279.008
328,278.960
329,278.912
330,278.862
331,278.811
332,278.759
333,278.707
334,278.653
335,278.599
336,278.544
337,278.489
338,278.433
339,278.377
340,278.320
341,278.264
342,278.207
343,278.150
344,278.093
345,278.037
346,277.980
347,277.924
348,277.868
349,277.813
350,277.759
351,277.705
352,277.651
353,277.599
354,277.547
355,277.497
356,277.447
357,277.399
358,277.352
359,277.306
360,277.262
361,277.219
362,277.178
363,277.138
364,277.101
365,277.065
366,277.031
367,276.998
368,276.968
369,276.940
370,276.913
371,276.887
372,276.864
373,276.842
374,276.821
375,276.803
376,276.785
377,276.769
378,276.754
379,276.741
380,276.729
381,276.719
382,276.709
383,276.701
384,276.694
385,276.688
386,276.683
387,276.679
388,276.676
389,276.674
390,276.673
391,276.673
392,276.673
393,276.675
394,276.677
395,276.680
396,276.683
397,276.687
398,276.692
399,276.697
400,276.702
401,276.709
402,276.715
403,276.722
404,276.729
405,276.737
406,276.745
407,276.752
408,276.761
409,276.769
410,276.777
411,276.786
412,276.794
413,276.802
414,276.810
415,276.818
416,276.827
417,276.834
418,276.842
419,276.849
420,276.856
421,276.862
422,276.868
423,276.874
424,276.879
425,276.884
426,276.888
427,276.891
428,276.894
429,276.896
430,276.897
431,276.898
432,276.898
433,276.897
434,276.896
435,276.895
436,276.892
437,276.889
438,276.886
439,276.882
440,276.878
441,276.873
442,276.868
443,276.863
444,276.857
445,276.851
446,276.845
447,276.838
448,276.831
449,276.824
450,276.817
451,276.810
452,276.802
453,276.794
454,276.787
455,276.779
456,276.771
457,276.763
458,276.755
459,276.747
460,276.740
461,276.732
462,276.724
463,276.717
464,276.710
465,276.702
466,276.695
467,276.688
468,276.681
469,276.673
470,276.666
471,276.659
472,276.651
473,276.644
474,276.636
475,276.629
476,276.621
477,276.613
478,276.604
479,276.596
480,276.587
481,276.578
482,276.568
483,276.559
484,276.549
485,276.539
486,276.528
487,276.517
488,276.505
489,276.493
490,276.481
491,276.468
492,276.455
493,276.441
494,276.427
495,276.412
496,276.396
497,276.380
498,276.363
499,276.346
500,276.328
501,276.309
502,276.290
503,276.270
504,276.250
505,276.230
506,276.210
507,276.189
508,276.169
509,276.149
510,276.129
511,276.110
512,276.091
513,276.072
514,276.055
515,276.038
516,276.022
517,276.007
518,275.993
519,275.980
520,275.969
521,275.959
522,275.951
523,275.944
524,275.940
525,275.936
526,275.935
527,275.936
528,275.939
529,275.945
530,275.953
531,275.963
532,275.976
533,275.991
534,276.010
535,276.031
536,276.055
537,276.082
538,276.113
539,276.146
540,276.182
541,276.220
542,276.261
543,276.303
544,276.348
545,276.394
546,276.441
547,276.490
548,276.539
549,276.589
550,276.640
551,276.691
552,276.742
553,276.792
554,276.843
555,276.892
556,276.941
557,276.989
558,277.036
559,277.081
560,277.124
561,277.165
562,277.204
563,277.241
564,277.276
565,277.307
566,277.336
567,277.361
568,277.382
569,277.401
570,277.415
571,277.425
572,277.430
573,277.432
574,277.428
575,277.422
576,277.411
577,277.398
578,277.381
579,277.363
580,277.342
581,277.319
582,277.295
583,277.270
584,277.244
585,277.217
586,277.191
587,277.165
588,277.140
589,277.116
590,277.093
591,277.072
592,277.053
593,277.037
594,277.023
595,277.013
596,277.006
597,277.003
598,277.003
599,277.006
600,277.013
601,277.023
602,277.036
603,277.052
604,277.071
605,277.093
606,277.117
607,277.143
608,277.172
609,277.202
610,277.235
611,277.270
612,277.307
613,277.345
614,277.385
615,277.426
616,277.468
617,277.512
618,277.556
619,277.602
620,277.648
621,277.695
622,277.742
623,277.790
624,277.838
625,277.887
626,277.935
627,277.983
628,278.031
629,278.079
630,278.126
631,278.172
632,278.218
633,278.263
634,278.307
635,278.351
636,278.393
637,278.435
638,278.476
639,278.516
640,278.555
641,278.594
642,278.632
643,278.669
644,278.706
645,278.742
646,278.777
647,278.811
648,278.845
649,278.879
650,278.911
651,278.943
652,278.975
653,279.006
654,279.036
655,279.066
656,279.095
657,279.124
658,279.153
659,279.180
660,279.208
661,279.235
662,279.261
663,279.287
664,279.313
665,279.338
666,279.363
667,279.388
668,279.412
669,279.436
670,279.459
671,279.482
672,279.505
673,279.526
674,279.547
675,279.567
676,279.587
677,279.606
678,279.623
679,279.639
680,279.655
681,279.669
682,279.682
683,279.693
684,279.704
685,279.712
686,279.719
687,279.725
688,279.728
689,279.731
690,279.731
691,279.729
692,279.725
693,279.719
694,279.712
695,279.701
696,279.689
697,279.674
698,279.657
699,279.637
700,279.615
701,279.591
702,279.565
703,279.536
704,279.506
705,279.474
706,279.441
707,279.406
708,279.370
709,279.333
710,279.295
711,279.257
712,279.217
713,279.177
714,279.137
715,279.097
716,279.057
717,279.017
718,278.977
719,278.937
720,278.898
721,278.860
722,278.823
723,278.787
724,278.752
725,278.718
726,278.686
727,278.656
728,278.627
729,278.600
730,278.575
731,278.553
732,278.532
733,278.514
734,278.498
735,278.483
736,278.470
737,278.459
738,278.449
739,278.441
740,278.434
741,278.429
742,278.425
743,278.423
744,278.421
745,278.420
746,278.421
747,278.422
748,278.424
749,278.427
750,278.430
751,278.434
752,278.438
753,278.443
754,278.449
755,278.454
756,278.459
757,278.465
758,278.471
759,278.476
760,278.482
761,278.487
762,278.492
763,278.496
764,278.500
765,278.503
766,278.506
767,278.508
768,278.510
769,278.511
770,278.512
771,278.513
772,278.513
773,278.513
774,278.512
775,278.512
776,278.511
777,278.510
778,278.509
779,278.508
780,278.507
781,278.507
782,278.506
783,278.505
784,278.505
785,278.505
786,278.505
787,278.505
788,278.506
789,278.508
790,278.509
791,278.512
792,278.514
793,278.518
794,278.522
795,278.526
796,278.532
797,278.538
798,278.545
799,278.553
800,278.562
801,278.571
802,278.582
803,278.593
804,278.605
805,278.618
806,278.631
807,278.645
808,278.660
809,278.675
810,278.691
811,278.707
812,278.724
813,278.741
814,278.759
815,278.777
816,278.795
817,278.813
818,278.832
819,278.851
820,278.870
821,278.889
822,278.908
823,278.928
824,278.947
825,278.966
826,278.985
827,279.004
828,279.023
829,279.042
830,279.060
831,279.079
832,279.096
833,279.114
834,279.131
835,279.148
836,279.164
837,279.180
838,279.195
839,279.210
840,279.224
841,279.238
842,279.250
843,279.263
844,279.274
845,279.284
846,279.294
847,279.303
848,279.311
849,279.318
850,279.324
851,279.329
852,279.333
853,279.335
854,279.337
855,279.337
856,279.337
857,279.335
858,279.331
859,279.327
860,279.321
861,279.314
862,279.306
863,279.298
864,279.288
865,279.277
866,279.266
867,279.254
868,279.241
869,279.228
870,279.214
871,279.200
872,279.186
873,279.171
874,279.156
875,279.141
876,279.126
877,279.111
878,279.096
879,279.081
880,279.066
881,279.052
882,279.038
883,279.024
884,279.011
885,278.999
886,278.987
887,278.976
888,278.965
889,278.956
890,278.947
891,278.940
892,278.933
893,278.928
894,278.923
895,278.921
896,278.919
897,278.919
898,278.920
899,278.923
900,278.927
901,278.932
902,278.939
903,278.947
904,278.955
905,278.965
906,278.975
907,278.986
908,278.998
909,279.010
910,279.023
911,279.037
912,279.050
913,279.064
914,279.078
915,279.091
916,279.105
917,279.119
918,279.132
919,279.145
920,279.158
921,279.170
922,279.182
923,279.192
924,279.202
925,279.212
926,279.220
927,279.227
928,279.233
929,279.238
930,279.241
931,279.243
932,279.244
933,279.243
934,279.240
935,279.235
936,279.229
937,279.221
938,279.210
939,279.198
940,279.183
941,279.166
942,279.147
943,279.125
944,279.100
945,279.073
946,279.044
947,279.012
948,278.979
949,278.944
950,278.909
951,278.872
952,278.836
953,278.799
954,278.763
955,278.728
956,278.693
957,278.660
958,278.629
959,278.600
960,278.574
961,278.550
962,278.530
963,278.513
964,278.500
965,278.491
966,278.487
967,278.488
968,278.493
969,278.505
970,278.522
971,278.544
972,278.572
973,278.603
974,278.640
975,278.680
976,278.724
977,278.772
978,278.823
979,278.877
980,278.934
981,278.994
982,279.055
983,279.119
984,279.184
985,279.251
986,279.319
987,279.387
988,279.457
989,279.526
990,279.596
991,279.665
992,279.734
993,279.803
994,279.870
995,279.935
996,280.000
997,280.062
998,280.122
999,280.180
1000,280.235
1001,280.287
1002,280.336
1003,280.382
1004,280.423
1005,280.461
1006,280.495
1007,280.524
1008,280.550
1009,280.574
1010,280.594
1011,280.612
1012,280.628
1013,280.643
1014,280.657
1015,280.671
1016,280.683
1017,280.697
1018,280.711
1019,280.726
1020,280.742
1021,280.760
1022,280.781
1023,280.804
1024,280.830
1025,280.860
1026,280.893
1027,280.931
1028,280.972
1029,281.016
1030,281.064
1031,281.114
1032,281.167
1033,281.222
1034,281.280
1035,281.340
1036,281.401
1037,281.464
1038,281.529
1039,281.594
1040,281.660
1041,281.727
1042,281.794
1043,281.862
1044,281.929
1045,281.996
1046,282.063
1047,282.129
1048,282.194
1049,282.258
1050,282.320
1051,282.381
1052,282.440
1053,282.496
1054,282.551
1055,282.603
1056,282.652
1057,282.698
1058,282.741
1059,282.780
1060,282.817
1061,282.850
1062,282.879
1063,282.906
1064,282.930
1065,282.951
1066,282.970
1067,282.986
1068,282.999
1069,283.010
1070,283.019
1071,283.026
1072,283.030
1073,283.033
1074,283.034
1075,283.033
1076,283.031
1077,283.027
1078,283.022
1079,283.015
1080,283.007
1081,282.999
1082,282.989
1083,282.978
1084,282.967
1085,282.955
1086,282.943
1087,282.930
1088,282.918
1089,282.904
1090,282.891
1091,282.878
1092,282.865
1093,282.852
1094,282.840
